ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CDSMXN25061019,CASHDRO S,WOOLWORTH,Pacifico,32.5809889,-115.5843266,Baja California Norte,logos/cashdros.png
CDSMXN25060618,CASHDRO S,WOOLWORTH,Pacifico,32.6249194,-115.4264283,Baja California Norte,logos/cashdros.png
CDSMXN25061003,CASHDRO S,WOOLWORTH,Pacifico,32.658463,-115.4777039,Baja California Norte,logos/cashdros.png
CDSMXN25061008,CASHDRO S,WOOLWORTH,Pacifico,32.4947772,-116.9329913,Baja California Norte,logos/cashdros.png
CDSMXN25060619,CASHDRO S,WOOLWORTH,Pacifico,32.6249194,-115.4264283,Baja California Norte,logos/cashdros.png
CDSMXN25061009,CASHDRO S,WOOLWORTH,Pacifico,32.4786741,-117.0184107,Baja California Norte,logos/cashdros.png
CDSMXN25061004,CASHDRO S,WOOLWORTH,Pacifico,32.4546629,-116.8344939,Baja California Norte,logos/cashdros.png
CDSMXN25061001,CASHDRO S,WOOLWORTH,Pacifico,32.658463,-115.4777039,Baja California Norte,logos/cashdros.png
CDSMXN25061010,CASHDRO S,WOOLWORTH,Pacifico,31.8489633,-116.5807894,Baja California Norte,logos/cashdros.png
CDSMXN25061005,CASHDRO S,WOOLWORTH,Pacifico,32.4546629,-116.8344939,Baja California Norte,logos/cashdros.png
CDSMXN25061011,CASHDRO S,WOOLWORTH,Pacifico,31.8489633,-116.5807894,Baja California Norte,logos/cashdros.png
CDSMXN25061002,CASHDRO S,WOOLWORTH,Pacifico,32.658463,-115.4777039,Baja California Norte,logos/cashdros.png
CDSMXN25061006,CASHDRO S,WOOLWORTH,Pacifico,32.4947772,-116.9329913,Baja California Norte,logos/cashdros.png
CDSMXN25061007,CASHDRO S,WOOLWORTH,Pacifico,32.4947772,-116.9329913,Baja California Norte,logos/cashdros.png
CDSMXN25060612,CASHDRO S,GRUPO PERRO NEGRO,Metro,19.3712262,-99.1665245,CDMX,logos/cashdros.png
CDSMXN25061617,CASHDRO S,WOOLWORTH,Pacifico,31.2899263,-110.9398595,Sonora,logos/cashdros.png
CDSMXN25061611,CASHDRO S,WOOLWORTH,Pacifico,27.4902269,-109.9336982,Sonora,logos/cashdros.png
CDSMXN25060616,CASHDRO S,WOOLWORTH,Pacifico,32.6070645,-115.4835334,Baja California Norte,logos/cashdros.png
CDSMXN25060617,CASHDRO S,WOOLWORTH,Pacifico,32.6070645,-115.4835334,Baja California Norte,logos/cashdros.png
CDSMXN25061609,CASHDRO S,WOOLWORTH,Pacifico,27.0773881,-109.4501674,Sonora,logos/cashdros.png
